"dataResourceUid","dataResourceName","images","dcterms:modified","dcterms:language","dcterms:license","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","identifier","provenance","rights","source","dcterms:type","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedMedia","associatedReferences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","associatedOccurrences","georeferenceVerificationStatus","recordedByID","recordID","degreeOfEstablishment","locationID","higherGeographyID","continent","waterBody","islandGroup","island","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","verbatimCoordinates","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks"
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1333","","","De Vis (1901)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988698","","","","","","","","","","","","PRESENT","","","","","","","","","","","","9a984f36-6e47-44d0-8db8-b31fd58c6e5f","","","","","","","","Australia","AU","Queensland","","","Some miles N of St George","","","","","","","","","","","","-27.98175","148.61782","EPSG:4326","9000.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1645","","","Gordon et al. (1985)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988925","","","","","","","","","","","","PRESENT","","","","","","","","","","","","fd3be44f-5e41-4e1c-b6f4-30ea0c3c4572","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP (#6)","","","","","","","","","","","","-22.3776","146.70391","EPSG:4326","900.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","4110","","","Harry Hines incidental records","Harry Hines fauna data","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:5827253","","","","","1","Accurate","","","","","","PRESENT","","","","","","","","","","","","390b3d12-03ac-4035-96c2-85acdbcb59be","","","","","","","","Australia","AU","Queensland","","","Hairy-nosed Highway near camp, Epping Forest National Park, northwest of Clermont, CQ.","","","","","","","","","","","","-22.37971","146.6989","EPSG:4326","50.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","8000","","","Rod Hobson's incidental records","Rod Hobson's wildlife data","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:3841168","","","","","3","Accurate","","","","","","PRESENT","","","","","","","","","","","","4f444da7-5b31-45ed-9dc7-97fa4d275e00","","","","","","","","Australia","AU","Queensland","","","Epping Forest National Park (Scientific), CEQ.","","","","","","","","","","","","-22.34815","146.70362","EPSG:4326","1000.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1275","","","Crossman et al. (1994)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2983400","","","","","","","","","","","","PRESENT","","","","","","","","","","","","7adbb878-0660-46a9-a540-ce1c9e455016","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP","","","","","","","","","","","","-22.37343","146.6928","EPSG:4326","900.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1645","","","Gordon et al. (1985)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988929","","","","","","","","","","","","PRESENT","","","","","","","","","","","","a0cb3725-d102-4bfb-9209-8e64c62da90d","","","","","","","","Australia","AU","Queensland","","","Alinya Stn 5.2km W of Epping Forest NP","","","","","","","","","","","","-22.35676","146.6428","EPSG:4326","900.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1275","","","Crossman et al. (1994)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2983353","","","","","","","","","","","","PRESENT","","","","","","","","","","","","331dd891-a66e-45b5-876c-df4b243cc106","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP","","","","","","","","","","","","-22.34843","146.70113","EPSG:4326","900.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1333","","","De Vis (1901)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988702","","","","","","","","","","","","PRESENT","","","","","","","","","","","","447b5497-fcef-42fa-bef9-af509517f460","","","","","","","","Australia","AU","Queensland","","","Bullamon Stn on Moonie River","","","","","","","","","","","","-28.65258","148.85532","EPSG:4326","1800.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","4110","","","Harry Hines incidental records","Harry Hines fauna data","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:5827235","","","","","1","Accurate","","","","","","PRESENT","","","","","","","","","","","","239b192b-22bc-4588-a666-a880f4b5d0b2","","","","","","","","Australia","AU","Queensland","","","Wombat Way, Epping Forest National Park, northwest of Clermont, CQ.","","","","","","","","","","","","-22.36915","146.69556","EPSG:4326","50.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","5956","","","Woolnough (2000)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:3828020","","","","","","","","","","","","PRESENT","","","","","","","","","","","","6827548f-78ab-4c4a-adf3-7f0f82abdb6a","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP","","","","","","","","","","","","-22.3526","146.70946","EPSG:4326","3500.0","","","","","","","","","","","",""
